,KM_estimate,timeline,Arm,Event
92,0.0002442958414407004,0.0199222521937417,Inclisiran,MI
93,0.00024918225683900896,0.0200019498074464,Inclisiran,MI
94,0.00024918225683900896,0.0202121800820052,Inclisiran,MI
95,0.00025406869612099037,0.0205139963613209,Inclisiran,MI
96,0.00025895513540385995,0.0210719369384133,Inclisiran,MI
97,0.00026384157468539726,0.0211348217260024,Inclisiran,MI
98,0.00026384157468539726,0.0216102761641351,Inclisiran,MI
99,0.00026384157468539726,0.021725895727608,Inclisiran,MI
100,0.00026872806173494634,0.02183127430715,Inclisiran,MI
101,0.00027361454878405134,0.0222563710163186,Inclisiran,MI
102,0.0002785010358326012,0.0223494123116461,Inclisiran,MI
103,0.0002785010358326012,0.0223512540330504,Inclisiran,MI
104,0.0002833875467672664,0.0225177147937757,Inclisiran,MI
105,0.00028827405770071035,0.0229994113701082,Inclisiran,MI
106,0.00029316056863437634,0.0233904487353245,Inclisiran,MI
107,0.0002980470795698187,0.0234574563892024,Inclisiran,MI
108,0.0003029335905031516,0.0235092631226671,Inclisiran,MI
109,0.0003078201014379278,0.0238435190839311,Inclisiran,MI
110,0.0003078201014379278,0.023992965059546,Inclisiran,MI
111,0.00031270663625648787,0.0240562847338349,Inclisiran,MI
112,0.00031270663625648787,0.0242529489812352,Inclisiran,MI
113,0.00031759319496182936,0.0242982276871807,Inclisiran,MI
114,0.0003224797536672819,0.0249961855558108,Inclisiran,MI
115,0.0003273663123727344,0.025539165582805,Inclisiran,MI
116,0.00033225287107785384,0.0256114760786021,Inclisiran,MI
117,0.0003371394297824182,0.0259925959488887,Inclisiran,MI
118,0.0003420259884878707,0.0260562147491854,Inclisiran,MI
119,0.0003469125471942114,0.0261757611209673,Inclisiran,MI
120,0.0003469125471942114,0.0268246339960759,Inclisiran,MI
121,0.0003517991297863343,0.0269124865634698,Inclisiran,MI
122,0.0003566857123785683,0.0270324223802915,Inclisiran,MI
123,0.0003615722949705802,0.0272053730298475,Inclisiran,MI
124,0.00036645887756225903,0.0274291009997926,Inclisiran,MI
125,0.0003713454601550481,0.0274338349659743,Inclisiran,MI
126,0.0003713454601550481,0.0275105706826879,Inclisiran,MI
127,0.0003762320666351737,0.0275579287694421,Inclisiran,MI
128,0.0003762320666351737,0.0282316446961523,Inclisiran,MI
129,0.0003811186970040792,0.0289305836838669,Inclisiran,MI
130,0.0003860053273710973,0.0291182693116831,Inclisiran,MI
131,0.0003860053273710973,0.0291479681611405,Inclisiran,MI
132,0.0003860053273710973,0.0295165475772734,Inclisiran,MI
133,0.0003908920055174514,0.029677566190741,Inclisiran,MI
134,0.0003957786836626953,0.0298577164745225,Inclisiran,MI
135,0.000400665361806829,0.0305951950709573,Inclisiran,MI
136,0.00040555203995129574,0.0313361105614093,Inclisiran,MI
137,0.00040555203995129574,0.0313372427510617,Inclisiran,MI
138,0.00041043874198509744,0.0317853960629773,Inclisiran,MI
139,0.00041043874198509744,0.0319189352804623,Inclisiran,MI
140,0.00041532546790956637,0.0320724313945332,Inclisiran,MI
141,0.00041532546790956637,0.0321640924244826,Inclisiran,MI
142,0.0004202122177240364,0.0322591059919244,Inclisiran,MI
143,0.0004250989675389505,0.0324794303265145,Inclisiran,MI
144,0.0004250989675389505,0.0325032441328073,Inclisiran,MI
145,0.00042998574124464284,0.03291980541034,Inclisiran,MI
146,0.0004348725149484478,0.0336053016244153,Inclisiran,MI
147,0.000439759288653474,0.0336954061490552,Inclisiran,MI
148,0.0004446460623597215,0.0339558957180646,Inclisiran,MI
149,0.00044953283606496974,0.0348985598259686,Inclisiran,MI
150,0.00044953283606496974,0.0349092193311025,Inclisiran,MI
151,0.00044953283606496974,0.0352735104861166,Inclisiran,MI
152,0.000454419657554328,0.0353767250932919,Inclisiran,MI
153,0.0004593064790419099,0.0354754156943553,Inclisiran,MI
154,0.0004593064790419099,0.0356885231222834,Inclisiran,MI
155,0.0004641933244224905,0.036273478070637,Inclisiran,MI
156,0.0004641933244224905,0.0363665985636522,Inclisiran,MI
157,0.0004641933244224905,0.036809882014582,Inclisiran,MI
158,0.0004641933244224905,0.0373492626794934,Inclisiran,MI
159,0.00046908024148195615,0.0375434415719633,Inclisiran,MI
160,0.00047396715853975646,0.0376907192307243,Inclisiran,MI
161,0.00047396715853975646,0.0378838946769378,Inclisiran,MI
162,0.0004788540994921098,0.0378929589568445,Inclisiran,MI
163,0.00048374104044379695,0.0383714376882842,Inclisiran,MI
164,0.00048374104044379695,0.0388017936042543,Inclisiran,MI
165,0.000488628005289149,0.0389150938752183,Inclisiran,MI
166,0.000488628005289149,0.03953264812943,Inclisiran,MI
167,0.000493514994029276,0.0395943695578692,Inclisiran,MI
168,0.0004984019827694031,0.0396422993883603,Inclisiran,MI
169,0.0005032889715093081,0.0398400979989599,Inclisiran,MI
170,0.0005032889715093081,0.0402135667623471,Inclisiran,MI
171,0.0005032889715093081,0.0404590448288168,Inclisiran,MI
172,0.0005032889715093081,0.0405087129465031,Inclisiran,MI
173,0.0005032889715093081,0.0411374501418565,Inclisiran,MI
174,0.0005032889715093081,0.0414261443962005,Inclisiran,MI
175,0.0005081760797260859,0.0414552049086092,Inclisiran,MI
176,0.0005081760797260859,0.0417938386104591,Inclisiran,MI
177,0.0005081760797260859,0.0420334408505179,Inclisiran,MI
178,0.0005130632357341902,0.0421269958601337,Inclisiran,MI
179,0.0005179503917431827,0.0421424542915443,Inclisiran,MI
180,0.0005179503917431827,0.0429756022082145,Inclisiran,MI
181,0.0005228375716483935,0.0433907607633412,Inclisiran,MI
182,0.0005277247515538264,0.0435724590892672,Inclisiran,MI
183,0.0005326119314592592,0.0441739184750914,Inclisiran,MI
184,0.0005326119314592592,0.0444114391024623,Inclisiran,MI
185,0.0005326119314592592,0.044559275986554,Inclisiran,MI
186,0.0005326119314592592,0.0447322071978075,Inclisiran,MI
187,0.0005374991830570108,0.0448917564159481,Inclisiran,MI
188,0.0005423864346554286,0.0449021044861331,Inclisiran,MI
189,0.000547273686252403,0.0453224157531639,Inclisiran,MI
190,0.0005521609378512649,0.045394010810562,Inclisiran,MI
191,0.0005521609378512649,0.0457044702879875,Inclisiran,MI
192,0.000557048213346456,0.046065256376816,Inclisiran,MI
193,0.0005619354888429795,0.0461523132303115,Inclisiran,MI
194,0.0005668227643403911,0.0467857115235714,Inclisiran,MI
195,0.0005717100398368036,0.0472779304503627,Inclisiran,MI
196,0.0005765973153337711,0.047572009933072,Inclisiran,MI
197,0.0005814845908310717,0.0481633505825183,Inclisiran,MI
198,0.000586371866326485,0.0483857112505004,Inclisiran,MI
199,0.000586371866326485,0.0486774398888377,Inclisiran,MI
200,0.0005912591657227795,0.0486958287751255,Inclisiran,MI
201,0.0005961464651184079,0.0494572394113776,Inclisiran,MI
202,0.0006010337645149244,0.0495099704647353,Inclisiran,MI
203,0.0006010337645149244,0.0495920807472424,Inclisiran,MI
204,0.0006010337645149244,0.0498469408224347,Inclisiran,MI
205,0.0006010337645149244,0.0501613050540361,Inclisiran,MI
206,0.0006059211356121974,0.050261118937182,Inclisiran,MI
207,0.0006059211356121974,0.0508350543859495,Inclisiran,MI
208,0.0006108085306113509,0.0514439947224025,Inclisiran,MI
209,0.0006156959256098382,0.0514941089627843,Inclisiran,MI
210,0.0006156959256098382,0.0517745453684403,Inclisiran,MI
211,0.0006156959256098382,0.0517864927846778,Inclisiran,MI
212,0.0006205833684113093,0.0519059354594888,Inclisiran,MI
213,0.0006205833684113093,0.0526033259296323,Inclisiran,MI
214,0.000625470835114883,0.0526932455207211,Inclisiran,MI
215,0.0006303583018180126,0.0529384417607371,Inclisiran,MI
216,0.0006303583018180126,0.0532191933979348,Inclisiran,MI
217,0.0006352457924240218,0.0532814498822599,Inclisiran,MI
218,0.0006401332830306972,0.0532962595245953,Inclisiran,MI
219,0.0006450207736361513,0.053794553273368,Inclisiran,MI
220,0.0006450207736361513,0.0543004654527309,Inclisiran,MI
221,0.0006450207736361513,0.0549638374176081,Inclisiran,MI
222,0.0006450207736361513,0.0550944977976427,Inclisiran,MI
223,0.000649908335952798,0.0555281774818632,Inclisiran,MI
224,0.0006547958982687785,0.0557211246027442,Inclisiran,MI
225,0.0006596834605856472,0.0561350875458307,Inclisiran,MI
226,0.0006596834605856472,0.0562913842202079,Inclisiran,MI
227,0.0006596834605856472,0.0562915359279216,Inclisiran,MI
228,0.0006645710707103847,0.0567099349164423,Inclisiran,MI
229,0.0006645710707103847,0.0567769861804391,Inclisiran,MI
230,0.0006645710707103847,0.0568532267344825,Inclisiran,MI
231,0.0006645710707103847,0.0570163802508473,Inclisiran,MI
232,0.0006694587525499784,0.0570755009823895,Inclisiran,MI
233,0.000674346434388573,0.0571434520412683,Inclisiran,MI
234,0.000679234116229499,0.0572076346357881,Inclisiran,MI
235,0.0006841217980688707,0.0574200572613511,Inclisiran,MI
236,0.0006890094799082425,0.057738740731282,Inclisiran,MI
237,0.0006938971617475032,0.0582020767480745,Inclisiran,MI
238,0.0006987848435863198,0.0582020987575933,Inclisiran,MI
239,0.0007036725254262466,0.0583891318448451,Inclisiran,MI
240,0.0007085602072670616,0.0584286176033071,Inclisiran,MI
241,0.0007085602072670616,0.0585043394604585,Inclisiran,MI
242,0.0007085602072670616,0.0588591210949531,Inclisiran,MI
243,0.0007134479369206304,0.0589315142841911,Inclisiran,MI
244,0.0007183356665740881,0.0589448567634047,Inclisiran,MI
245,0.0007183356665740881,0.0596864289965441,Inclisiran,MI
246,0.0007232234201356436,0.0608077714114098,Inclisiran,MI
247,0.0007232234201356436,0.0619030285869638,Inclisiran,MI
248,0.0007281111976030763,0.0619686655471497,Inclisiran,MI
249,0.0007281111976030763,0.062284153332521,Inclisiran,MI
250,0.0007329989989792729,0.0628641086800468,Inclisiran,MI
251,0.0007329989989792729,0.0630626429644593,Inclisiran,MI
252,0.0007378868242635672,0.0630643558178993,Inclisiran,MI
253,0.0007427746495475285,0.0634630215010968,Inclisiran,MI
254,0.0007427746495475285,0.0635696436223224,Inclisiran,MI
255,0.0007476624987388103,0.0638090473625168,Inclisiran,MI
256,0.0007525503479324236,0.0638380983271086,Inclisiran,MI
257,0.0007525503479324236,0.0640179795086256,Inclisiran,MI
258,0.0007525503479324236,0.0647227527404594,Inclisiran,MI
259,0.0007574382449436756,0.0653658168571175,Inclisiran,MI
260,0.0007623261419545946,0.0655009508082637,Inclisiran,MI
261,0.0007672140389650695,0.0655086078649722,Inclisiran,MI
262,0.0007721019359765435,0.0662521018829833,Inclisiran,MI
263,0.0007769898329871294,0.0665425672718655,Inclisiran,MI
264,0.0007818777299982704,0.0665753068893817,Inclisiran,MI
265,0.0007818777299982704,0.066641470612556,Inclisiran,MI
266,0.0007867656509185084,0.0667267753456323,Inclisiran,MI
267,0.0007867656509185084,0.0669586510557193,Inclisiran,MI
268,0.0007867656509185084,0.0677328447444447,Inclisiran,MI
269,0.000791653619661159,0.067832789365196,Inclisiran,MI
270,0.0007965415884046978,0.067853000239212,Inclisiran,MI
271,0.0007965415884046978,0.0681632344379913,Inclisiran,MI
272,0.0008014295810591099,0.0683230220667584,Inclisiran,MI
273,0.0008014295810591099,0.0685873792199703,Inclisiran,MI
274,0.0008063175976238401,0.0687564464496386,Inclisiran,MI
275,0.0008063175976238401,0.0687668382394914,Inclisiran,MI
276,0.0008112056381035515,0.0690955060906618,Inclisiran,MI
277,0.0008112056381035515,0.0691151503947796,Inclisiran,MI
278,0.0008160937024942472,0.0696300682415715,Inclisiran,MI
279,0.0008209817668853869,0.0701382070908528,Inclisiran,MI
280,0.0008258698312753054,0.0713311906615587,Inclisiran,MI
281,0.0008258698312753054,0.0714499542155583,Inclisiran,MI
282,0.0008307579195783177,0.0716103940772924,Inclisiran,MI
283,0.0008307579195783177,0.0718649424125638,Inclisiran,MI
284,0.0008307579195783177,0.0719940928069382,Inclisiran,MI
285,0.0008356460557085166,0.0721503347814104,Inclisiran,MI
286,0.0008356460557085166,0.0724629141058733,Inclisiran,MI
287,0.0008405342157522533,0.0725639814480126,Inclisiran,MI
288,0.0008454223757979884,0.0726356777948035,Inclisiran,MI
289,0.0008454223757979884,0.0733070872295025,Inclisiran,MI
290,0.0008503105597581495,0.0734407091322388,Inclisiran,MI
291,0.0008551987437160902,0.073475707970198,Inclisiran,MI
292,0.0008600869276752521,0.0736302208164176,Inclisiran,MI
293,0.0008649751116351911,0.0737080093755187,Inclisiran,MI
294,0.0008649751116351911,0.0737399462539513,Inclisiran,MI
295,0.0008698633195097782,0.0743437753055593,Inclisiran,MI
296,0.0008698633195097782,0.0746910104816652,Inclisiran,MI
297,0.0008747515512999016,0.0747529737006554,Inclisiran,MI
