x,y,Arm
1.18,0.0386724416455362,FOURIER-placebo
1.19,0.039143355753482,FOURIER-placebo
1.2,0.0399574013790177,FOURIER-placebo
1.21,0.0404483493354382,FOURIER-placebo
1.22,0.0409119356607465,FOURIER-placebo
1.23,0.0413976993648037,FOURIER-placebo
1.24,0.041585427584602,FOURIER-placebo
1.25,0.0417713703879765,FOURIER-placebo
1.26,0.0419732208079736,FOURIER-placebo
1.27,0.0421495744544809,FOURIER-placebo
1.28,0.0423420811060073,FOURIER-placebo
1.29,0.0427426412938991,FOURIER-placebo
1.3,0.0431238022156617,FOURIER-placebo
1.31,0.0434353529443,FOURIER-placebo
1.32,0.0438834634921073,FOURIER-placebo
1.33,0.0442053314073449,FOURIER-placebo
1.34,0.0448232142948059,FOURIER-placebo
1.35,0.0450854434683129,FOURIER-placebo
1.36,0.0453787084367624,FOURIER-placebo
1.37,0.0454007743102192,FOURIER-placebo
1.38,0.0454007743102192,FOURIER-placebo
1.39,0.0455922754558349,FOURIER-placebo
1.4,0.0457182079959066,FOURIER-placebo
1.41,0.0457938007111851,FOURIER-placebo
1.42,0.0460829968609544,FOURIER-placebo
1.43,0.0463531642406342,FOURIER-placebo
1.44,0.0466307104115446,FOURIER-placebo
1.45,0.0469344477980358,FOURIER-placebo
1.46,0.047327221711336,FOURIER-placebo
1.47,0.0474910403200632,FOURIER-placebo
1.48,0.0477284231024484,FOURIER-placebo
1.49,0.0480921924046159,FOURIER-placebo
1.5,0.0482750983237522,FOURIER-placebo
1.51,0.0485685320281422,FOURIER-placebo
1.52,0.0488341034400118,FOURIER-placebo
1.53,0.0491099450719159,FOURIER-placebo
1.54,0.0494136401300276,FOURIER-placebo
1.55,0.0496533504196461,FOURIER-placebo
1.56,0.0499313823650199,FOURIER-placebo
1.57,0.0502134749831661,FOURIER-placebo
1.58,0.0505708397602334,FOURIER-placebo
1.59,0.0507608015469791,FOURIER-placebo
1.6,0.0511197109603689,FOURIER-placebo
1.61,0.0515081381703026,FOURIER-placebo
1.62,0.0517867603509702,FOURIER-placebo
1.63,0.052074876724416,FOURIER-placebo
1.64,0.052527253300127,FOURIER-placebo
1.65,0.0528305742135429,FOURIER-placebo
1.66,0.0534548091934697,FOURIER-placebo
1.67,0.0537569592442386,FOURIER-placebo
1.68,0.0540285054269336,FOURIER-placebo
1.69,0.0545455625642658,FOURIER-placebo
1.7,0.0553301881584489,FOURIER-placebo
1.71,0.0557678045502582,FOURIER-placebo
1.72,0.0562632247572684,FOURIER-placebo
1.73,0.0565234747565132,FOURIER-placebo
1.74,0.0568355259881416,FOURIER-placebo
1.75,0.0572628944472213,FOURIER-placebo
1.76,0.0575936798929068,FOURIER-placebo
1.77,0.0579726416638779,FOURIER-placebo
1.78,0.0583494811111733,FOURIER-placebo
1.79,0.0587459032142402,FOURIER-placebo
1.8,0.0591365489932644,FOURIER-placebo
1.81,0.0595182536917022,FOURIER-placebo
1.82,0.0598082084420377,FOURIER-placebo
1.83,0.0598901855154568,FOURIER-placebo
1.84,0.0602663875771092,FOURIER-placebo
1.85,0.060672040255988,FOURIER-placebo
1.86,0.0610577637513264,FOURIER-placebo
1.87,0.0613801786221659,FOURIER-placebo
1.88,0.061436566350508,FOURIER-placebo
1.89,0.0618137008413607,FOURIER-placebo
1.9,0.0621872948853242,FOURIER-placebo
1.91,0.0624894990028015,FOURIER-placebo
1.92,0.0627526673864118,FOURIER-placebo
1.93,0.0633824885120302,FOURIER-placebo
1.94,0.063738561271835,FOURIER-placebo
1.95,0.06407852444198,FOURIER-placebo
1.96,0.0644716517325849,FOURIER-placebo
1.97,0.0648520628762307,FOURIER-placebo
1.98,0.0652303278082069,FOURIER-placebo
1.99,0.0656260599847466,FOURIER-placebo
2,0.065928280153418,FOURIER-placebo
2.01,0.0661891145078606,FOURIER-placebo
2.02,0.066458315678065,FOURIER-placebo
2.03,0.0667734325118272,FOURIER-placebo
2.04,0.0667734325118272,FOURIER-placebo
2.05,0.0669095906833653,FOURIER-placebo
2.06,0.0669564875782571,FOURIER-placebo
2.07,0.0669623144623335,FOURIER-placebo
2.08,0.0671456012401468,FOURIER-placebo
2.09,0.0672452292247687,FOURIER-placebo
2.1,0.0673384395385734,FOURIER-placebo
2.11,0.0673427369715483,FOURIER-placebo
2.12,0.0675348273624151,FOURIER-placebo
2.13,0.0675348273624151,FOURIER-placebo
2.14,0.0675348273624151,FOURIER-placebo
2.15,0.0677454479323014,FOURIER-placebo
2.16,0.0680180918692285,FOURIER-placebo
2.17,0.0682903566481582,FOURIER-placebo
2.18,0.0686441903443895,FOURIER-placebo
2.19,0.0694334676631864,FOURIER-placebo
2.2,0.0699708614843134,FOURIER-placebo
2.21,0.0703989601232839,FOURIER-placebo
2.22,0.0705786258971389,FOURIER-placebo
2.23,0.0709329675905524,FOURIER-placebo
2.24,0.0713805957546337,FOURIER-placebo
2.25,0.0716925609335318,FOURIER-placebo
2.26,0.0721335943871247,FOURIER-placebo
2.27,0.0727224202222859,FOURIER-placebo
2.28,0.0732539646961562,FOURIER-placebo
2.29,0.0740449301736745,FOURIER-placebo
2.3,0.0743917071322618,FOURIER-placebo
2.30999999999999,0.0747452634780697,FOURIER-placebo
2.31999999999999,0.0751375556228446,FOURIER-placebo
2.32999999999999,0.0755627338992681,FOURIER-placebo
2.33999999999999,0.0758809351945877,FOURIER-placebo
2.34999999999999,0.0761209160941103,FOURIER-placebo
2.35999999999999,0.0762843257746902,FOURIER-placebo
2.36999999999999,0.0766851061753155,FOURIER-placebo
2.37999999999999,0.0768770760119176,FOURIER-placebo
2.38999999999999,0.0770665345933216,FOURIER-placebo
2.39999999999999,0.0771354231159393,FOURIER-placebo
2.40999999999999,0.0772623929397659,FOURIER-placebo
2.41999999999999,0.0774434061547326,FOURIER-placebo
2.42999999999999,0.0774538808110659,FOURIER-placebo
2.43999999999999,0.0776371622758097,FOURIER-placebo
2.44999999999999,0.0778467511915949,FOURIER-placebo
2.45999999999999,0.0778486184439307,FOURIER-placebo
2.46999999999999,0.0785921415571075,FOURIER-placebo
2.47999999999999,0.0793440722288697,FOURIER-placebo
2.48999999999999,0.0797656343967794,FOURIER-placebo
2.49999999999999,0.0801303669362897,FOURIER-placebo
2.50999999999999,0.0804812926436319,FOURIER-placebo
2.51999999999999,0.0808761494688775,FOURIER-placebo
2.52999999999999,0.0812453021998691,FOURIER-placebo
2.53999999999999,0.0815965453366051,FOURIER-placebo
2.54999999999999,0.0820291275068035,FOURIER-placebo
2.55999999999999,0.0822158119793163,FOURIER-placebo
2.56999999999999,0.0824085721640457,FOURIER-placebo
2.57999999999999,0.0828037951559818,FOURIER-placebo
2.58999999999999,0.0829519246031881,FOURIER-placebo
2.59999999999999,0.0832167016771585,FOURIER-placebo
2.60999999999999,0.0835161827806451,FOURIER-placebo
2.61999999999999,0.0839640524666824,FOURIER-placebo
2.62999999999999,0.0842729890723441,FOURIER-placebo
2.63999999999999,0.0847112255077446,FOURIER-placebo
2.64999999999999,0.0851913873886164,FOURIER-placebo
2.65999999999999,0.0854617479390773,FOURIER-placebo
2.66999999999999,0.0858683009959036,FOURIER-placebo
2.67999999999999,0.0860387134928772,FOURIER-placebo
2.68999999999999,0.0862181863564049,FOURIER-placebo
2.69999999999999,0.0862239353400279,FOURIER-placebo
2.70999999999999,0.0862646056812524,FOURIER-placebo
2.71999999999999,0.0864151344823915,FOURIER-placebo
2.72999999999999,0.0864151344823915,FOURIER-placebo
2.73999999999999,0.0866124471100302,FOURIER-placebo
2.74999999999999,0.0869945801760425,FOURIER-placebo
