timeline,KM_estimate,Arm,Origin,Event
0.67,0.0057489775053263,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.68,0.0058443435605305,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.690000000000001,0.0059695156124554,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.7,0.0060397925209271,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.710000000000001,0.0060397925209271,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.72,0.0060406933195942,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.730000000000001,0.0061470737354124,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.74,0.0062325778858856,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.750000000000001,0.0062325778858856,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.76,0.0062325778858856,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.770000000000001,0.0062325778858856,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.78,0.0062376625184238,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.790000000000001,0.006352670572802,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.8,0.0064898649925697,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.810000000000001,0.0065579898284362,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.82,0.0066160502349712,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.830000000000001,0.0066547992275481,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.84,0.0067885145950543,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.850000000000001,0.0068049932287568,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.86,0.0068502721125984,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.870000000000001,0.0069518950861458,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.88,0.0070215727496532,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.890000000000001,0.0070950879862673,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.9,0.0070950879862673,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.910000000000001,0.0070978770635967,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.92,0.0071704818754654,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.930000000000001,0.007306465252214,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.94,0.007421781567275,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.950000000000001,0.0074279943126916,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.960000000000001,0.007430347637527,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.970000000000001,0.0074442756071689,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.98,0.0074722452740461,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
0.990000000000001,0.0075995366679832,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.0,0.0076583658796728,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.01,0.0078341465644282,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.02,0.0079998810147442,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.03,0.0080964633859717,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.04,0.0081967176701037,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.05,0.0082464261615302,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.06,0.008301321020086,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.07,0.0084709253801441,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.08,0.0085332810247224,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.09,0.0085593278849788,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.1,0.0086348664101509,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.11,0.0087399428346451,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.12,0.0088725297176087,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.13,0.0088975436031011,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.14,0.0090334359161953,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.15,0.00905582823559,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.16,0.0091125752365726,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.17,0.0091125752365726,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.18,0.0091792521595474,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.19,0.009202543276403,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.2,0.009202543276403,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.21,0.0092509704963515,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.22,0.009322584768593,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.23,0.0093950732158592,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
1.24,0.0094173056788638,Placebo,Observed data (FOURIER),Fatal or nonfatal ischemic stroke
