timeline,KM_estimate,Arm,Origin,Event
0.96,0.0148489279232112,Placebo,Observed data (FOURIER),MALE
0.97,0.0150980133360363,Placebo,Observed data (FOURIER),MALE
0.98,0.0153984280724987,Placebo,Observed data (FOURIER),MALE
0.99,0.0153984280724987,Placebo,Observed data (FOURIER),MALE
1.0,0.0153984280724987,Placebo,Observed data (FOURIER),MALE
1.01,0.0156490966158617,Placebo,Observed data (FOURIER),MALE
1.02,0.0156718244193777,Placebo,Observed data (FOURIER),MALE
1.03,0.0159463510495357,Placebo,Observed data (FOURIER),MALE
1.04,0.0159483212769915,Placebo,Observed data (FOURIER),MALE
1.05,0.0159483302722116,Placebo,Observed data (FOURIER),MALE
1.06,0.0159483302722116,Placebo,Observed data (FOURIER),MALE
1.07,0.0159483382277784,Placebo,Observed data (FOURIER),MALE
1.08,0.0160869549063168,Placebo,Observed data (FOURIER),MALE
1.09,0.0162468546500479,Placebo,Observed data (FOURIER),MALE
1.1,0.0165028559750438,Placebo,Observed data (FOURIER),MALE
1.11,0.0165203547897632,Placebo,Observed data (FOURIER),MALE
1.12,0.0167574036261347,Placebo,Observed data (FOURIER),MALE
1.13,0.0170723811797139,Placebo,Observed data (FOURIER),MALE
1.14,0.0173930180333273,Placebo,Observed data (FOURIER),MALE
1.15,0.0176696675513737,Placebo,Observed data (FOURIER),MALE
1.16,0.0179425662441478,Placebo,Observed data (FOURIER),MALE
1.17,0.0180030955376998,Placebo,Observed data (FOURIER),MALE
1.18,0.01854446661291,Placebo,Observed data (FOURIER),MALE
1.19,0.0187210078097528,Placebo,Observed data (FOURIER),MALE
1.2,0.0191366058970831,Placebo,Observed data (FOURIER),MALE
1.21,0.0194292649294976,Placebo,Observed data (FOURIER),MALE
1.22,0.0194292649294976,Placebo,Observed data (FOURIER),MALE
1.23,0.0194292649294976,Placebo,Observed data (FOURIER),MALE
1.24,0.0194292649294976,Placebo,Observed data (FOURIER),MALE
1.25,0.0194292649294976,Placebo,Observed data (FOURIER),MALE
1.26,0.0194292649294976,Placebo,Observed data (FOURIER),MALE
1.27,0.0194292649294976,Placebo,Observed data (FOURIER),MALE
1.28,0.0194292649294976,Placebo,Observed data (FOURIER),MALE
1.29,0.0194292649294976,Placebo,Observed data (FOURIER),MALE
1.3,0.0197109966473504,Placebo,Observed data (FOURIER),MALE
1.31,0.0198829176010987,Placebo,Observed data (FOURIER),MALE
1.32,0.0200097371686314,Placebo,Observed data (FOURIER),MALE
1.33,0.0200099939164452,Placebo,Observed data (FOURIER),MALE
1.34,0.0200099939164452,Placebo,Observed data (FOURIER),MALE
1.35,0.0200099939164452,Placebo,Observed data (FOURIER),MALE
1.36,0.0200099939164452,Placebo,Observed data (FOURIER),MALE
1.37,0.0200099939164452,Placebo,Observed data (FOURIER),MALE
1.38,0.0200099939164452,Placebo,Observed data (FOURIER),MALE
1.39,0.0200099939164452,Placebo,Observed data (FOURIER),MALE
1.4,0.0200099939164452,Placebo,Observed data (FOURIER),MALE
1.41,0.0200913104816071,Placebo,Observed data (FOURIER),MALE
1.42,0.020285096181532,Placebo,Observed data (FOURIER),MALE
1.43,0.0205699625718235,Placebo,Observed data (FOURIER),MALE
1.44,0.0205834107088248,Placebo,Observed data (FOURIER),MALE
1.45,0.0205836716554421,Placebo,Observed data (FOURIER),MALE
1.46,0.0205836722455236,Placebo,Observed data (FOURIER),MALE
1.47,0.0205836722455236,Placebo,Observed data (FOURIER),MALE
1.48,0.0205836722455236,Placebo,Observed data (FOURIER),MALE
1.49,0.0205836722455236,Placebo,Observed data (FOURIER),MALE
1.5,0.0205836722455236,Placebo,Observed data (FOURIER),MALE
1.51,0.0205836722455236,Placebo,Observed data (FOURIER),MALE
1.52,0.0205836722455236,Placebo,Observed data (FOURIER),MALE
1.53,0.0205836722455236,Placebo,Observed data (FOURIER),MALE
1.54,0.0205836722455236,Placebo,Observed data (FOURIER),MALE
1.55,0.0205836722455236,Placebo,Observed data (FOURIER),MALE
1.56,0.0205836722455236,Placebo,Observed data (FOURIER),MALE
1.57,0.0205836722455236,Placebo,Observed data (FOURIER),MALE
1.58,0.0205837141115566,Placebo,Observed data (FOURIER),MALE
1.59,0.0206820513774118,Placebo,Observed data (FOURIER),MALE
1.6,0.0209045172115773,Placebo,Observed data (FOURIER),MALE
1.61,0.0211819202905908,Placebo,Observed data (FOURIER),MALE
1.62,0.0215129642750922,Placebo,Observed data (FOURIER),MALE
1.63,0.0215701786087285,Placebo,Observed data (FOURIER),MALE
1.64,0.0218971367986235,Placebo,Observed data (FOURIER),MALE
1.65,0.0218971367986235,Placebo,Observed data (FOURIER),MALE
