timeline,KM_estimate,Arm,Origin,Event
0.940000000000001,0.0479367585633733,Placebo,Observed data (FOURIER),MACE
0.950000000000001,0.0481367718539086,Placebo,Observed data (FOURIER),MACE
0.960000000000001,0.0485327319657776,Placebo,Observed data (FOURIER),MACE
0.970000000000001,0.0487255396421722,Placebo,Observed data (FOURIER),MACE
0.980000000000001,0.0489036257091672,Placebo,Observed data (FOURIER),MACE
0.990000000000001,0.0489058272650332,Placebo,Observed data (FOURIER),MACE
1.0,0.0490941721073712,Placebo,Observed data (FOURIER),MACE
1.01,0.0490992552153714,Placebo,Observed data (FOURIER),MACE
1.02,0.0490996038643206,Placebo,Observed data (FOURIER),MACE
1.03,0.0490996038643206,Placebo,Observed data (FOURIER),MACE
1.04,0.0497413015245653,Placebo,Observed data (FOURIER),MACE
1.05,0.0505737957701142,Placebo,Observed data (FOURIER),MACE
1.06,0.0512080487549363,Placebo,Observed data (FOURIER),MACE
1.07,0.0515534489110222,Placebo,Observed data (FOURIER),MACE
1.08,0.0519852294977018,Placebo,Observed data (FOURIER),MACE
1.09,0.0525488875667293,Placebo,Observed data (FOURIER),MACE
1.1,0.0527247457257619,Placebo,Observed data (FOURIER),MACE
1.11,0.0531319827194226,Placebo,Observed data (FOURIER),MACE
1.12,0.0532838284123095,Placebo,Observed data (FOURIER),MACE
1.13,0.0534876552224005,Placebo,Observed data (FOURIER),MACE
1.14,0.0534933045215933,Placebo,Observed data (FOURIER),MACE
1.15,0.0534933045215933,Placebo,Observed data (FOURIER),MACE
1.16,0.0536787926074282,Placebo,Observed data (FOURIER),MACE
1.17,0.0538816754827523,Placebo,Observed data (FOURIER),MACE
1.18,0.0542317685874475,Placebo,Observed data (FOURIER),MACE
1.19,0.0546363540713924,Placebo,Observed data (FOURIER),MACE
1.2,0.0550052890271741,Placebo,Observed data (FOURIER),MACE
1.21,0.05541162896388,Placebo,Observed data (FOURIER),MACE
1.22,0.0556411287935297,Placebo,Observed data (FOURIER),MACE
1.23,0.0559179479679062,Placebo,Observed data (FOURIER),MACE
1.24,0.0561915555146452,Placebo,Observed data (FOURIER),MACE
1.25,0.0565320468167613,Placebo,Observed data (FOURIER),MACE
1.26,0.056928236874089,Placebo,Observed data (FOURIER),MACE
1.27,0.057325081118885,Placebo,Observed data (FOURIER),MACE
1.28,0.0576897030162829,Placebo,Observed data (FOURIER),MACE
1.29,0.0579831508177884,Placebo,Observed data (FOURIER),MACE
1.3,0.0582533142889798,Placebo,Observed data (FOURIER),MACE
1.31,0.0584551013647845,Placebo,Observed data (FOURIER),MACE
1.32,0.0584551013647845,Placebo,Observed data (FOURIER),MACE
1.33,0.0588619246259371,Placebo,Observed data (FOURIER),MACE
1.34,0.0591818054015908,Placebo,Observed data (FOURIER),MACE
1.35,0.0594256857947471,Placebo,Observed data (FOURIER),MACE
1.36,0.0596139934464739,Placebo,Observed data (FOURIER),MACE
1.37,0.0597962508900237,Placebo,Observed data (FOURIER),MACE
1.38,0.0599721752372352,Placebo,Observed data (FOURIER),MACE
1.39,0.0603498649017193,Placebo,Observed data (FOURIER),MACE
1.4,0.0605690243626806,Placebo,Observed data (FOURIER),MACE
1.41,0.0607308582957898,Placebo,Observed data (FOURIER),MACE
1.42,0.0611532024518097,Placebo,Observed data (FOURIER),MACE
1.43,0.0611532024518097,Placebo,Observed data (FOURIER),MACE
1.44,0.0613202690304146,Placebo,Observed data (FOURIER),MACE
1.45,0.0614695551597293,Placebo,Observed data (FOURIER),MACE
1.46,0.0622787429404073,Placebo,Observed data (FOURIER),MACE
1.47,0.0626391084244651,Placebo,Observed data (FOURIER),MACE
1.48,0.0630526368727117,Placebo,Observed data (FOURIER),MACE
1.49,0.0632857174997818,Placebo,Observed data (FOURIER),MACE
1.5,0.0637206717396912,Placebo,Observed data (FOURIER),MACE
1.51,0.0644236121131217,Placebo,Observed data (FOURIER),MACE
1.52,0.0649673842381483,Placebo,Observed data (FOURIER),MACE
1.53,0.0649673842381483,Placebo,Observed data (FOURIER),MACE
1.54,0.0649673842381483,Placebo,Observed data (FOURIER),MACE
1.55,0.0651474492484888,Placebo,Observed data (FOURIER),MACE
1.56,0.0654133848094887,Placebo,Observed data (FOURIER),MACE
1.57,0.0664660297421738,Placebo,Observed data (FOURIER),MACE
1.58,0.0668663603015909,Placebo,Observed data (FOURIER),MACE
1.59,0.0670491721607046,Placebo,Observed data (FOURIER),MACE
1.6,0.0672406826888828,Placebo,Observed data (FOURIER),MACE
1.61,0.0675648004967406,Placebo,Observed data (FOURIER),MACE
1.62,0.0680313539078116,Placebo,Observed data (FOURIER),MACE
1.63,0.0683858326234138,Placebo,Observed data (FOURIER),MACE
1.64,0.0687769234966458,Placebo,Observed data (FOURIER),MACE
1.65,0.0687818230744675,Placebo,Observed data (FOURIER),MACE
1.66,0.0689613923580478,Placebo,Observed data (FOURIER),MACE
1.67,0.069164440034277,Placebo,Observed data (FOURIER),MACE
1.68,0.0693639470520773,Placebo,Observed data (FOURIER),MACE
1.69,0.0695367224556719,Placebo,Observed data (FOURIER),MACE
1.7,0.0695414110227231,Placebo,Observed data (FOURIER),MACE
1.71,0.0695414110227231,Placebo,Observed data (FOURIER),MACE
1.72,0.0696137266182534,Placebo,Observed data (FOURIER),MACE
1.73,0.0704970189697434,Placebo,Observed data (FOURIER),MACE
1.74,0.0704970189697434,Placebo,Observed data (FOURIER),MACE
